customer_id,company_name,industry,company_size,country_code,country_name,timezone,contact_email,contact_name,signup_date,signup_source,is_active,churned_at,churn_reason,nps_score,is_churned,tenure_days,plan_id,plan_name,plan_tier,status,mrr_usd,billing_cycle,team_size,active_members,total_events,avg_session_sec,unique_features,last_activity,first_activity,total_sessions_with_duration,latest_nps,avg_nps,nps_surveys_count
14,Keen Ventures,Consulting,small,CA,Canada,America/Toronto,hassan.clark@startup.co,Hassan Clark,2024-02-25,referral,True,,,,0,767.0,6.0,Enterprise,enterprise,active,74.25,annual,2.0,2.0,43,1709.4705882352941,5,2025-10-03 14:34:18,2023-12-21 15:20:17,34,6.0,5.666666666666667,3.0
15,DataLogic,Insurance,enterprise,US,United States,America/Chicago,jessica.gonzalez@startup.co,Jessica Gonzalez,2024-04-18,referral,True,,,,0,714.0,2.0,Starter,starter,active,12.0,monthly,60.0,52.0,39,2014.142857142857,4,2025-07-11 11:46:11,2023-01-26 18:28:44,35,,,
16,Iris Labs,Healthcare,enterprise,GB,United Kingdom,Europe/London,william.clark@startup.co,William Clark,2023-06-18,event,True,,,,0,1019.0,2.0,Starter,starter,active,10.0,annual,60.0,58.0,50,1936.4,8,2025-05-19 09:04:18,2023-01-01 11:05:18,40,9.0,8.333333333333334,3.0
17,DriftCloud,Legal,enterprise,JP,Japan,Asia/Tokyo,wei.rivera@hotmail.com,Wei Rivera,2024-08-16,organic,True,,,6.0,0,594.0,2.0,Starter,starter,active,9.6,monthly,52.0,49.0,42,1479.4333333333334,5,2025-08-27 06:14:02,2023-05-04 17:14:23,30,0.0,7.0,7.0
18,LinkIO,Retail,medium,US,United States,America/Los_Angeles,patricia.allen@linkio.com,Patricia Allen,2025-06-01,partner,True,,,10.0,0,305.0,4.0,Professional,professional,active,39.0,monthly,5.0,4.0,46,2011.7105263157894,5,2025-10-13 04:05:33,2023-01-14 13:03:13,38,,,
19,Flow Corp,Logistics,medium,BR,Brazil,America/Sao_Paulo,dorothy.lee@company.io,Dorothy Lee,2024-02-10,referral,False,2025-07-25 09:00:24,Poor support experience,8.0,1,531.0,4.0,Professional,professional,cancelled,32.5,annual,3.0,3.0,37,2124.5806451612902,8,2024-11-15 01:20:52,2023-01-06 05:32:42,31,8.0,7.0,2.0
20,AcmeHQ,Real Estate,small,US,United States,America/Chicago,paul.wilson@company.io,Paul Wilson,2025-06-19,event,True,,,7.0,0,287.0,6.0,Enterprise,enterprise,active,82.5,annual,1.0,1.0,38,1746.0689655172414,5,2024-11-05 01:19:27,2023-05-18 20:15:57,29,6.0,5.5,4.0
21,NexusStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,karen.nelson@nexusstack.com,Karen Nelson,2023-04-20,partner,True,,,6.0,0,1078.0,4.0,Professional,professional,active,39.0,monthly,52.0,44.0,44,1710.2941176470588,4,2025-06-29 13:13:33,2023-02-06 20:44:48,34,8.0,7.333333333333333,3.0
22,Onyx Analytics,Media,medium,DE,Germany,Europe/Berlin,ana.brown@onyxanalytics.com,Ana Brown,2023-12-08,event,True,,,,0,846.0,5.0,Professional Plus,professional,active,49.17,annual,10.0,10.0,42,1984.75,4,2025-10-19 17:30:19,2023-02-21 23:23:07,32,10.0,8.666666666666666,3.0
23,KitePro,Legal,medium,JP,Japan,Asia/Tokyo,james.davis@yahoo.com,James Davis,2025-05-04,organic,True,,,7.0,0,333.0,3.0,Starter Plus,starter,active,15.83,annual,9.0,5.0,44,1878.0,7,2025-08-12 11:17:23,2023-05-23 15:01:07,30,9.0,9.5,2.0
24,TidalStudio,Insurance,enterprise,US,United States,America/New_York,daniel.wilson@company.io,Daniel Wilson,2025-06-24,paid_ads,True,,,,0,282.0,3.0,Starter Plus,starter,active,15.83,annual,53.0,51.0,32,1961.9333333333334,4,2025-10-09 19:29:31,2023-09-03 03:27:41,30,7.0,6.0,3.0
25,PulseSolutions,Insurance,small,AU,Australia,Australia/Sydney,mary.lopez@startup.co,Mary Lopez,2025-06-03,referral,True,,,4.0,0,303.0,1.0,Free,free,active,0.0,monthly,3.0,3.0,38,1587.40625,4,2025-06-14 17:38:39,2023-04-27 09:58:12,32,2.0,4.75,4.0
26,YieldAI,E-commerce,small,CA,Canada,America/Toronto,daniel.martin@yieldai.com,Daniel Martin,2023-07-17,event,True,,,2.0,0,990.0,6.0,Enterprise,enterprise,active,99.0,monthly,2.0,2.0,40,1916.4,7,2025-09-18 01:45:19,2023-03-05 21:23:57,35,7.0,7.333333333333333,3.0
27,WaveStack,Logistics,enterprise,JP,Japan,Asia/Tokyo,lisa.johnson@yahoo.com,Lisa Johnson,2023-09-29,organic,False,2025-02-03 08:53:39,Budget cuts,6.0,1,493.0,4.0,Professional,professional,cancelled,32.5,annual,40.0,35.0,43,1694.8181818181818,2,2025-09-29 01:52:07,2023-01-05 05:45:03,33,6.0,6.0,1.0
28,Keen Software,Education,small,FR,France,Europe/Paris,margaret.smith@hotmail.com,Margaret Smith,2023-03-13,organic,True,,,,0,1116.0,3.0,Starter Plus,starter,active,19.0,monthly,2.0,2.0,39,1699.1842105263158,5,2025-03-19 11:12:41,2023-05-04 08:40:58,38,1.0,4.666666666666667,3.0
29,QuestSystems,Education,medium,DE,Germany,Europe/Berlin,wei.clark@questsystems.com,Wei Clark,2024-03-06,paid_ads,True,,,9.0,0,757.0,5.0,Professional Plus,professional,active,49.17,annual,10.0,10.0,41,1477.1764705882354,4,2025-10-01 19:48:22,2023-01-06 09:47:54,34,10.0,7.285714285714286,7.0
30,NexusVentures,Media,enterprise,US,United States,America/New_York,karen.jackson@corp.net,Karen Jackson,2024-04-21,referral,True,,,,0,711.0,2.0,Starter,starter,active,12.0,monthly,32.0,28.0,29,2107.5,2,2025-08-29 03:03:12,2023-03-07 08:20:36,24,8.0,8.666666666666666,3.0
31,VineSolutions,Education,medium,SG,Singapore,Asia/Singapore,aisha.flores@hotmail.com,Aisha Flores,2023-08-19,referral,True,,,2.0,0,957.0,4.0,Professional,professional,active,39.0,monthly,3.0,3.0,43,1706.030303030303,4,2025-07-03 16:50:52,2023-04-30 00:17:25,33,,,
32,Arc Stack,Real Estate,small,FR,France,Europe/Paris,carlos.harris@gmail.com,Carlos Harris,2025-05-31,paid_ads,True,,,7.0,0,306.0,3.0,Starter Plus,starter,active,15.83,annual,2.0,2.0,26,1652.5238095238096,6,2025-03-31 04:10:59,2023-07-21 20:00:05,21,5.0,6.142857142857143,7.0
33,SageDev,Media,small,US,United States,America/Chicago,sandra.rodriguez@tech.dev,Sandra Rodriguez,2025-08-30,organic,True,,,9.0,0,215.0,5.0,Professional Plus,professional,active,59.0,monthly,1.0,1.0,32,1660.44,2,2025-08-17 11:05:08,2023-05-02 12:57:17,25,4.0,6.0,2.0
34,JadeHQ,Legal,enterprise,CA,Canada,America/Toronto,mark.taylor@protonmail.com,Mark Taylor,2024-06-17,event,True,,,7.0,0,654.0,4.0,Professional,professional,active,33.15,monthly,36.0,35.0,39,1635.3030303030303,4,2025-08-01 07:54:14,2023-01-10 07:53:03,33,7.0,7.0,2.0
35,PulseAnalytics,Telecommunications,medium,US,United States,America/Chicago,david.martinez@pulseanalytics.com,David Martinez,2024-02-22,organic,True,,,2.0,0,770.0,2.0,Starter,starter,active,10.0,annual,5.0,4.0,32,1880.6666666666667,7,2025-10-11 23:33:36,2023-09-03 07:24:24,24,6.0,6.0,1.0
36,YieldHub,Legal,small,BR,Brazil,America/Sao_Paulo,Matthew.Walker@startup.co,Matthew Walker,2025-09-03,partner,True,,,9.0,0,211.0,5.0,Professional Plus,professional,active,59.0,monthly,3.0,2.0,41,1683.3333333333333,4,2025-05-15 21:33:46,2023-05-09 11:59:42,33,9.0,9.0,2.0
37,Flux Labs,Manufacturing,small,SG,Singapore,Asia/Singapore,fatima.tanaka@enterprise.com,Fatima Tanaka,2025-10-01,organic,True,,,7.0,0,183.0,4.0,Professional,professional,active,39.0,monthly,4.0,4.0,42,1734.0645161290322,5,2024-09-08 02:42:25,2023-05-11 20:56:11,31,8.0,5.0,2.0
38,FlowStack,Retail,medium,US,United States,America/Los_Angeles,patricia.taylor@company.io,Patricia Taylor,2025-06-19,organic,True,,,,0,287.0,6.0,Enterprise,enterprise,active,82.5,annual,13.0,12.0,46,1738.2702702702702,4,2025-07-26 12:44:58,2023-05-05 18:34:04,37,5.0,7.0,2.0
39,QuarkTech,Legal,medium,US,United States,America/New_York,daniel.anderson@gmail.com,Daniel Anderson,2025-08-30,paid_ads,True,,,,0,215.0,1.0,Free,free,active,0.0,monthly,12.0,12.0,41,1700.2333333333333,2,2025-05-04 19:07:09,2023-04-21 04:00:56,30,7.0,7.333333333333333,6.0
40,PulseDigital,Healthcare,medium,GB,United Kingdom,Europe/London,sandra.hall@corp.net,Sandra Hall,2025-02-04,paid_ads,True,,,,0,422.0,2.0,Starter,starter,active,10.0,annual,15.0,14.0,32,1997.7916666666667,2,2025-07-16 11:02:07,2023-07-02 05:23:22,24,7.0,6.0,4.0
41,TidalSystems,Telecommunications,small,BR,Brazil,America/Sao_Paulo,fatima.harris@outlook.com,Fatima Harris,2025-04-30,referral,True,,,9.0,0,337.0,2.0,Starter,starter,active,12.0,monthly,5.0,5.0,38,1826.59375,3,2025-10-06 16:25:00,2024-01-03 16:23:49,32,7.0,7.5,2.0
42,KeenAI,Manufacturing,large,IN,India,Asia/Kolkata,robert.allen+nimbus@keenai.com,Robert Allen,2025-09-10,referral,True,,,,0,204.0,5.0,Professional Plus,professional,active,49.17,annual,25.0,24.0,29,1585.64,2,2025-08-31 03:19:54,2024-06-09 18:52:18,25,8.0,7.8,5.0
43,TrekDigital,Legal,medium,SG,Singapore,Asia/Singapore,sarah.flores@enterprise.com,Sarah Flores,2025-04-25,referral,True,,,9.0,0,342.0,1.0,Free,free,active,0.0,monthly,10.0,10.0,39,1509.8709677419354,4,2025-09-22 09:07:12,2023-06-04 02:30:05,31,,,
44,Drift Ventures,Real Estate,large,AU,Australia,Australia/Sydney,lisa.johnson@enterprise.com,Lisa Johnson,2025-03-27,event,True,,,8.0,0,371.0,1.0,Free,free,active,0.0,monthly,18.0,17.0,41,1689.5714285714287,6,2025-10-04 00:45:13,2023-03-13 18:58:20,28,8.0,7.333333333333333,3.0
45,JadeLabs,E-commerce,small,GB,United Kingdom,Europe/London,olga.clark@enterprise.com,Olga Clark,2024-05-17,organic,True,,,6.0,0,685.0,1.0,Free,free,active,0.0,monthly,6.0,6.0,49,1659.7179487179487,6,2025-03-03 03:53:33,2023-03-03 21:35:30,39,5.0,6.0,2.0
46,SagePlatform,Real Estate,small,CA,Canada,America/Toronto,kimberly.king@tech.dev,Kimberly King,2024-12-20,partner,True,,,5.0,0,468.0,1.0,Free,free,active,0.0,annual,5.0,5.0,38,1647.6666666666667,7,2025-07-15 12:12:02,2023-05-29 22:35:01,30,4.0,5.25,4.0
47,UltraSystems,Insurance,large,US,United States,America/Los_Angeles,richard.wilson@corp.net,Richard Wilson,2024-06-21,partner,True,,,,0,650.0,3.0,Starter Plus,starter,active,19.0,monthly,23.0,22.0,28,1855.2857142857142,2,2025-10-06 09:02:19,2023-05-08 14:06:14,21,2.0,5.6,5.0
48,SyncPlatform,Education,small,FR,France,Europe/Paris,paul.rodriguez@tech.dev,Paul Rodriguez,2025-08-24,event,False,2025-10-29 13:03:59,Not enough users,0.0,1,66.0,6.0,Enterprise,enterprise,cancelled,70.12,annual,2.0,2.0,40,1719.774193548387,2,2025-10-14 13:45:48,2024-02-02 22:27:54,31,0.0,3.5,2.0
49,EchoIO,Finance,small,DE,Germany,Europe/Berlin,kenji.walker@echoio.com,Kenji Walker,2024-10-06,event,True,,,9.0,0,543.0,1.0,Free,free,active,0.0,monthly,5.0,4.0,39,1939.9666666666667,2,2025-05-05 04:35:47,2023-06-23 21:13:51,30,4.0,4.0,1.0
50,Warp Corp,Real Estate,medium,BR,Brazil,America/Sao_Paulo,joseph.singh@enterprise.com,Joseph Singh,2024-08-25,referral,True,,,8.0,0,585.0,1.0,Free,free,active,0.0,annual,3.0,2.0,43,1787.5833333333333,6,2025-09-18 08:55:09,2023-05-10 14:49:50,36,7.0,6.5,2.0
51,WarpSoftware,Education,large,US,United States,America/Chicago,william.thomas@gmail.com,William Thomas,2024-12-06,event,True,,,5.0,0,482.0,3.0,Starter Plus,starter,active,15.83,annual,9.0,9.0,51,1895.4318181818182,6,2025-03-12 06:41:21,2023-01-10 22:35:37,44,10.0,6.5,2.0
52,Orbit Analytics,Insurance,enterprise,SG,Singapore,Asia/Singapore,emily.nelson@outlook.com,Emily Nelson,2024-10-25,event,False,2025-03-07 03:52:26,No longer needed,0.0,1,133.0,1.0,Free,free,cancelled,0.0,annual,47.0,39.0,39,1892.103448275862,8,2025-09-16 11:04:56,2023-07-18 10:25:37,29,,,
53,MistPro,Telecommunications,small,CA,Canada,America/Toronto,linda.robinson@protonmail.com,Linda Robinson,2024-05-20,organic,True,,,10.0,0,682.0,1.0,Free,free,active,0.0,annual,5.0,4.0,43,1789.7714285714285,4,2025-05-30 01:36:08,2023-02-11 04:30:38,35,8.0,7.666666666666667,3.0
54,Orbit Ops,Retail,enterprise,BR,Brazil,America/Sao_Paulo,emily.johnson@protonmail.com,Emily Johnson,2025-02-20,event,True,,,8.0,0,406.0,1.0,Free,free,active,0.0,monthly,41.0,36.0,38,1603.0,4,2025-10-12 21:40:27,2023-01-16 19:08:45,32,5.0,6.5,2.0
55,LunaVentures,Retail,medium,US,United States,America/Chicago,donald.thompson@outlook.com,Donald Thompson,2023-12-04,organic,True,,,8.0,0,850.0,4.0,Professional,professional,active,31.2,monthly,10.0,10.0,36,2047.5185185185185,7,2025-07-09 10:50:16,2023-01-15 10:12:33,27,2.0,6.666666666666667,6.0
56,Flow Works,Education,small,US,United States,America/Chicago,lars.sanchez@gmail.com,Lars Sanchez,2024-07-09,referral,True,,,7.0,0,632.0,5.0,Professional Plus,professional,active,59.0,monthly,4.0,4.0,30,1541.32,5,2025-02-13 01:54:28,2023-06-03 09:27:04,25,9.0,7.5,6.0
57,OnyxHQ,E-commerce,small,JP,Japan,Asia/Tokyo,david.jackson@onyxhq.com,David Jackson,2024-10-07,organic,True,,,4.0,0,542.0,4.0,Professional,professional,active,32.5,annual,6.0,5.0,41,1829.6969696969697,6,2024-04-15 18:50:11,2023-09-12 16:28:10,33,8.0,7.6,5.0
58,Hub HQ,Healthcare,large,US,United States,America/Los_Angeles,ashley.rivera@startup.co,Ashley Rivera,2025-09-30,partner,True,,,4.0,0,184.0,3.0,Starter Plus,starter,active,19.0,monthly,19.0,18.0,35,1835.6296296296296,3,2025-10-11 08:47:26,2023-10-15 07:16:24,27,7.0,6.5,2.0
59,MistDev,Finance,enterprise,US,United States,America/Chicago,sarah.singh@tech.dev,Sarah Singh,2023-01-03,referral,True,,,8.0,0,1185.0,2.0,Starter,starter,active,12.0,monthly,26.0,24.0,42,1977.4193548387098,5,2025-04-29 15:14:26,2023-09-03 18:19:51,31,8.0,8.0,1.0
60,JetHQ,Marketing,small,JP,Japan,Asia/Tokyo,priya.wright@hotmail.com,Priya Wright,2023-09-02,organic,True,,,9.0,0,943.0,5.0,Professional Plus,professional,active,59.0,monthly,4.0,4.0,40,1802.3030303030303,4,2024-10-30 03:50:58,2023-02-11 22:52:59,33,10.0,10.0,1.0
61,UltraPro,Telecommunications,enterprise,AU,Australia,Australia/Sydney,matthew.nelson@yahoo.com,Matthew Nelson,2023-02-07,referral,False,2025-09-10 19:31:16,Company closed,,1,946.0,1.0,Free,free,cancelled,0.0,monthly,28.0,25.0,49,1762.8095238095239,8,2025-10-08 07:15:18,2023-01-12 01:09:31,42,8.0,7.0,3.0
62,GridDev,Technology,large,US,United States,America/Los_Angeles,anthony.adams@protonmail.com,Anthony Adams,2024-12-10,organic,True,,,6.0,0,478.0,3.0,Starter Plus,starter,active,16.15,monthly,29.0,27.0,36,1765.892857142857,6,2024-12-03 08:34:14,2023-09-19 11:47:24,28,7.0,7.5,2.0
63,UltraStack,Insurance,medium,JP,Japan,Asia/Tokyo,john.flores@protonmail.com,John Flores,2025-02-03,referral,False,2025-04-12 05:33:23,,,1,68.0,4.0,Professional,professional,cancelled,39.0,monthly,9.0,9.0,51,1708.9117647058824,7,2025-09-01 19:34:14,2023-01-10 11:40:58,34,6.0,4.333333333333333,3.0
64,CoreSolutions,Telecommunications,small,US,United States,America/New_York,charles.muller@coresolutions.com,Charles Muller,2024-06-27,paid_ads,True,,,,0,644.0,2.0,Starter,starter,active,10.0,annual,5.0,5.0,46,1788.0,8,2025-09-10 20:06:59,2023-01-09 03:09:37,36,10.0,10.0,2.0
65,Yield Group,Logistics,small,CA,Canada,America/Toronto,emily.martinez@enterprise.com,Emily Martinez,2023-01-10,paid_ads,True,,,6.0,0,1178.0,1.0,Free,free,active,0.0,annual,6.0,6.0,40,1883.6571428571428,4,2025-07-31 17:33:09,2023-07-04 18:49:11,35,6.0,6.0,1.0
66,EdgeHQ,Real Estate,small,SG,Singapore,Asia/Singapore,margaret.hall@hotmail.com,Margaret Hall,2025-05-23,event,True,,,8.0,0,314.0,1.0,Free,free,active,0.0,monthly,4.0,4.0,50,1728.4545454545455,5,2025-06-10 20:03:14,2023-03-07 22:59:57,44,3.0,3.0,1.0
67,Quest Logic,Education,small,BR,Brazil,America/Sao_Paulo,kenji.baker@corp.net,Kenji Baker,2025-05-02,organic,True,,,9.0,0,335.0,1.0,Free,free,active,0.0,monthly,4.0,4.0,48,1683.078947368421,5,2025-10-15 03:57:57,2023-05-09 18:56:32,38,8.0,8.0,3.0
68,Quark Ops,Insurance,large,SG,Singapore,Asia/Singapore,fatima.santos@gmail.com,Fatima Santos,2024-03-27,organic,False,2025-02-03 09:30:22,,8.0,1,313.0,6.0,Enterprise,enterprise,cancelled,82.5,annual,13.0,12.0,43,2042.3030303030303,5,2025-07-17 16:10:31,2023-04-14 21:33:59,33,3.0,3.0,1.0
69,Ion Dynamics,Telecommunications,small,JP,Japan,Asia/Tokyo,steven.moore@enterprise.com,Steven Moore,2023-10-30,referral,True,,,3.0,0,885.0,1.0,Free,free,active,0.0,annual,1.0,1.0,42,2000.0555555555557,6,2025-05-19 13:58:44,2023-01-12 05:19:49,36,9.0,9.0,2.0
70,JetHub,Retail,large,FR,France,Europe/Paris,fatima.sanchez@jethub.com,Fatima Sanchez,2024-02-09,event,False,2025-04-30 18:25:58,Switched to competitor,5.0,1,446.0,4.0,Professional,professional,cancelled,39.0,monthly,17.0,16.0,42,1673.2058823529412,4,2025-10-26 19:31:46,2023-03-04 04:18:39,34,,,
71,LinkLogic,Marketing,small,SG,Singapore,Asia/Singapore,Joseph.Walker@tech.dev,Joseph Walker,2024-09-16,event,True,,,9.0,0,563.0,7.0,Enterprise Custom,enterprise,active,199.0,monthly,1.0,1.0,34,1944.5172413793102,4,2025-10-19 10:57:09,2023-02-24 08:20:45,29,4.0,4.0,1.0
72,Cloud AI,Education,medium,US,United States,America/Chicago,michael.thomas@enterprise.com,Michael Thomas,2025-08-30,organic,True,,,,0,215.0,2.0,Starter,starter,active,12.0,monthly,14.0,13.0,45,2031.4358974358975,5,2025-09-30 12:46:33,2023-05-25 15:13:22,39,9.0,8.5,2.0
73,LinkPro,Telecommunications,medium,SG,Singapore,Asia/Singapore,michael.santos@linkpro.com,Michael Santos,2024-01-15,organic,True,,,5.0,0,808.0,2.0,Starter,starter,active,9.6,monthly,7.0,7.0,36,1647.2857142857142,4,2025-09-15 08:11:05,2023-05-10 11:59:47,28,10.0,8.0,4.0
74,GridOps,Telecommunications,large,IN,India,Asia/Kolkata,patricia.sanchez@gridops.com,Patricia Sanchez,2023-08-06,organic,True,,,1.0,0,970.0,3.0,Starter Plus,starter,active,15.83,annual,28.0,27.0,42,2054.948717948718,3,2025-10-08 19:04:59,2023-01-07 22:07:36,39,,,
75,NovaTech,Media,small,BR,Brazil,America/Sao_Paulo,susan.ivanov@yahoo.com,Susan Ivanov,2024-09-02,referral,False,2025-01-22 09:10:45,No longer needed,6.0,1,142.0,1.0,Free,free,cancelled,0.0,monthly,6.0,4.0,30,1552.3,3,2025-10-28 05:33:00,2023-04-05 19:27:23,20,5.0,6.5,2.0
76,Wave Platform,Real Estate,small,US,United States,America/New_York,barbara.taylor@waveplatform.com,Barbara Taylor,2023-03-07,referral,True,,,,0,1122.0,2.0,Starter,starter,active,10.0,annual,2.0,2.0,35,2029.96,3,2025-06-29 12:44:54,2023-01-24 10:52:05,25,7.0,7.666666666666667,3.0
77,Nexus AI,Legal,enterprise,SG,Singapore,Asia/Singapore,dorothy.martin@gmail.com,Dorothy Martin,2025-05-17,referral,True,,,,0,320.0,4.0,Professional,professional,active,39.0,monthly,47.0,45.0,44,2154.9411764705883,2,2025-09-01 04:06:57,2023-02-19 08:24:40,34,2.0,3.25,4.0
78,Rush Group,Logistics,medium,JP,Japan,Asia/Tokyo,yuki.lee@protonmail.com,Yuki Lee,2024-09-11,referral,True,,,,0,568.0,5.0,Professional Plus,professional,active,59.0,monthly,4.0,4.0,41,1885.0294117647059,5,2025-05-08 05:36:47,2023-02-25 08:57:26,34,7.0,6.25,4.0
79,PeakStack,Media,large,GB,United Kingdom,Europe/London,margaret.lewis@enterprise.com,Margaret Lewis,2025-01-17,organic,False,2025-07-31 17:43:43,Company closed,,1,195.0,4.0,Professional,professional,cancelled,32.5,annual,24.0,18.0,41,1821.25,5,2025-08-27 18:04:11,2023-01-31 13:43:47,36,9.0,6.5,4.0
80,JetOps,Healthcare,small,US,United States,America/Chicago,jennifer.ramirez@yahoo.com,Jennifer Ramirez,2024-08-23,organic,True,,,8.0,0,587.0,5.0,Professional Plus,professional,active,59.0,monthly,5.0,5.0,57,1965.7555555555555,4,2025-06-27 11:24:28,2023-02-12 23:23:27,45,9.0,7.0,3.0
81,WaveOps,Manufacturing,enterprise,FR,France,Europe/Paris,patricia.jackson@corp.net,Patricia Jackson,2023-06-08,organic,True,,,3.0,0,1029.0,5.0,Professional Plus,professional,active,47.2,monthly,44.0,40.0,42,1715.060606060606,9,2025-08-30 11:36:54,2023-03-05 03:32:19,33,10.0,6.5,4.0
82,Orbit Corp,Retail,medium,BR,Brazil,America/Sao_Paulo,donna.baker+test@orbitcorp.com,Donna Baker,2023-10-07,organic,True,,,6.0,0,908.0,4.0,Professional,professional,active,39.0,monthly,10.0,8.0,42,1538.9714285714285,5,2025-10-15 23:41:17,2023-02-15 21:15:09,35,6.0,7.0,2.0
83,LunaDigital,Manufacturing,small,US,United States,America/Los_Angeles,ahmed.green@tech.dev,Ahmed Green,2024-03-05,organic,True,,,6.0,0,758.0,1.0,Free,free,active,0.0,monthly,3.0,3.0,46,1796.275,2,2025-04-26 18:54:49,2023-04-16 11:29:46,40,4.0,5.6,5.0
84,ZealVentures,Telecommunications,small,US,United States,America/Los_Angeles,william.kim@protonmail.com,William Kim,2024-03-10,referral,True,,,6.0,0,753.0,1.0,Free,free,active,0.0,monthly,3.0,3.0,36,2049.6666666666665,2,2025-06-22 11:52:24,2023-05-14 05:14:54,27,0.0,5.666666666666667,3.0
